user_id,show_id,rating,title
1,4483,5.0,Here to Heart
1,7713,3.1,Patient Seventeen
1,4313,4.2,"Out of Many, One"
1,5287,2.6,The Vampire Diaries
1,2556,2.7,In Paradox
1,6004,2.3,"27, el club de los malditos"
1,1054,4.4,Wave of Cinema: One Day We'll Talk About Today
1,7992,1.5,Shahanpan Dega Deva
1,2846,3.1,Velvet
1,7286,2.6,Legion
1,2387,4.5,4th Republic
1,7925,1.9,Samantaral
1,4159,4.2,Rudy Habibie
1,1231,4.5,City of Ghosts
1,8449,2.6,The Pelican Brief
1,1198,3.5,RebellComedy: Straight Outta the Zoo
1,6910,4.0,HALO Legends
1,1697,3.0,Survivor
1,453,4.1,BEASTARS
1,6663,4.9,Easy Fortune Happy Life
2,4040,4.3,That Thing Called Tadhana
2,790,4.0,Dream/Killer
2,1544,1.9,Grizzlies
2,3829,4.0,Malibu Rescue
2,196,2.5,He's All That
2,5337,2.2,Baahubali: The Beginning (Hindi Version)
2,264,4.2,Walk of Shame
2,6028,3.3,A Billion Colour Story
2,2780,3.0,Curtiz
2,868,4.8,The Magic School Bus
2,4518,4.5,The Haunting of Hill House
2,85,2.7,Pokémon Master Journeys: The Series
2,1128,3.0,S.W.A.T.: Under Siege
2,4169,1.3,Mi Obra Maestra
2,2291,2.8,What the Fish
2,4732,1.0,Rang De Basanti
2,4749,3.4,Coco y Raulito: Carrusel de ternura
2,5349,4.5,Entangled
2,5570,5.0,Howards End
2,7025,3.6,Hungerford
3,1841,3.4,The Last Kids on Earth
3,2154,4.9,Stars in the Sky: A Hunting Story
3,333,1.9,Ferris Bueller's Day Off
3,186,4.4,Hometown Cha-Cha-Cha
3,3056,4.8,Chhota Bheem Kung Fu Dhamaka Series
3,4045,4.2,The Hard Way
3,8074,3.7,Spy Kids
3,403,2.0,The Movies That Made Us
3,6917,1.0,Hannibal
3,2925,2.8,To All the Boys: P.S. I Still Love You
3,800,1.8,Mosquita y Mari
3,3919,2.9,Thriller
3,8723,4.4,What Makes a Psychopath?
3,3766,1.9,Pachamama
3,3987,1.1,Antoine Griezmann: The Making of a Legend
3,571,4.9,Generation 56k
3,5440,5.0,Shimmer Lake
3,4089,3.5,The Big Family Cooking Showdown
3,6048,3.9,A new Capitalism
3,2162,3.5,The Rain
4,3816,5.0,See You Yesterday
4,5070,3.0,Love and Hong Kong
4,5877,3.7,Sammy & Co
4,2816,2.3,100 Humans
4,6464,2.7,Chhota Bheem Kungfu Dhamaka
4,2501,3.8,Either Me Or My Auntie
4,6446,2.6,Charlie and the Chocolate Factory
4,2254,2.9,The Protector
4,4632,1.5,The Good Cop
4,2618,5.0,Küçük Esnaf
4,6377,3.0,Bring It On: Worldwide Showdown
4,4621,3.6,Made in Mexico
4,4627,2.2,Battlefish
4,1330,2.7,The World We Make
4,598,3.9,The American
4,5172,3.2,Bon Cop Bad Cop 2
4,7813,3.2,Queens vs. Kings
4,4060,1.4,Radio Rebel
4,1393,2.4,Sightless
4,2430,2.7,Lady Bird
5,6193,3.8,ATM
5,1681,3.9,The Princess Switch: Switched Again
5,507,4.5,Three Thieves
5,851,2.7,99 Songs (Tamil)
5,6556,3.7,Dance Academy
5,1097,4.5,Coded Bias
5,7411,3.2,Martin Lawrence Live: Runteldat
5,3201,2.8,Thug Life
5,7387,2.5,Maine Pyar Kiya
5,8171,2.5,Tezz
5,4178,4.0,Marvel's The Punisher
5,8706,4.6,We the Animals
5,7938,4.5,Sarivar Sari
5,6696,2.8,End of Watch
5,6926,1.0,Harlem Globetrotters: The Team That Changed the World
5,6107,2.2,Aitraaz
5,3221,4.3,Merry Happy Whatever
5,356,1.9,The Losers
5,1389,4.4,Friendsgiving
5,5387,1.7,10 jours en or
6,6886,3.5,Gothika
6,4985,4.1,Tabula Rasa
6,6220,2.9,Balto
6,5554,3.0,Five Came Back
6,8397,1.9,The Lizzie Borden Chronicles
6,6605,3.7,Di Renjie zhi Sidatianwang
6,573,2.5,Kung Fu Panda
6,3667,3.4,3Below: Tales of Arcadia
6,6803,3.2,Friday Night Tykes
6,4069,4.5,Beauty and the Bestie
6,5924,1.4,Chelsea Peretti: One of the Greats
6,5725,4.5,The Ivory Game
6,1661,2.0,Strongest Deliveryman
6,5561,3.0,The Most Hated Woman in America
6,7827,1.2,Ram Teri Ganga Maili
6,7265,3.1,Lalbaug Parel: Zali Mumbai Sonyachi
6,8492,3.4,The Roommate
6,5457,3.9,Mind Game
6,6637,2.9,Doubt
6,4066,5.0,Your Son
7,5440,4.4,Shimmer Lake
7,7206,2.9,Kilo Two Bravo
7,4179,4.3,Memory Love
7,6143,3.9,American History X
7,7539,3.2,My Life as a Zucchini
7,8081,3.1,Star Men
7,2355,2.1,Disclosure
7,7395,3.4,Manglehorn
7,850,3.9,99 Songs
7,4173,2.1,Just Love
7,4365,2.3,Frontier
7,2484,2.3,Lock Your Girls In
7,2959,3.3,Itaewon Class
7,7451,4.6,MI-5
7,180,3.2,The Nutty Professor II: The Klumps
7,7645,2.8,Oh My Ghost 4
7,586,5.0,Pet Sematary 2
7,871,4.8,Sardar Ka Grandson
7,3429,4.5,Fractured
7,3453,3.7,Raising Dion
8,6817,1.1,Furthest Witness
8,8128,2.9,Superman Returns
8,6914,1.1,Hamza's Suitcase
8,1269,3.8,Geez & Ann
8,5731,3.5,Love Me or Leave Me
8,358,4.5,The Net
8,2486,4.8,Mystic Pop-up Bar
8,806,4.7,Seven Souls in the Skull Castle: Season Moon Jogen
8,1471,3.9,Best of Stand-Up 2020
8,2610,3.0,R.K.Nagar
8,7180,5.0,Kevin Hart: Seriously Funny
8,7624,2.9,Nuestra Lucha Libre
8,2639,3.4,دفعة القاهرة
8,718,2.2,Life of Crime
8,153,4.1,Kid-E-Cats
8,4879,2.6,Kong: King of the Apes
8,7165,4.0,Kajraare
8,6767,2.4,Flash of Genius
8,8624,4.9,Tremors 4: The Legend Begins
8,1915,3.3,Oktoberfest: Beer & Blood
9,8052,4.1,Solo: A Star Wars Story (Spanish Version)
9,8072,3.8,Spring Breakers
9,2626,1.1,The Lift Boy
9,2256,2.4,Born Racer
9,4979,1.5,Take Your Pills
9,7091,5.0,Invictus
9,7167,1.0,Kalki
9,6894,5.0,Great Interior Design Challenge
9,219,2.8,EDENS ZERO
9,16,4.4,Europe's Most Dangerous Man: Otto Skorzeny in Spain
9,5157,2.9,Argon
9,5300,3.4,Khoon Khoon
9,7210,4.7,Kingpin
9,683,4.3,A Family
9,5512,4.4,Small Crimes
9,4684,3.4,Bert Kreischer: Secret Time
9,1568,2.6,"Kalel, 15"
9,6127,3.2,AlphaGo
9,6763,3.2,Fit for Fashion
9,7401,4.1,Mantra
10,7055,3.8,Igor
10,5301,2.3,LEGO Elves: Secrets of Elvendale
10,7826,3.3,Ralph Breaks the Internet: Wreck-It Ralph 2
10,5682,2.8,Spectral
10,7146,2.8,Jugaad
10,8037,3.8,Sleepover
10,6223,2.1,Balu Mahi
10,2105,2.8,Hoops
10,4036,4.7,Walk. Ride. Rodeo.
10,1759,3.6,LEGO Ninjago: Masters of Spinjitzu
10,5635,3.0,We Are Young. We Are Strong.
10,8406,3.2,The Love Guru
10,7784,1.0,Power Rangers Wild Force
10,4007,4.4,Jeff Dunham: Arguing with Myself
10,4734,3.4,Tamasha
10,556,3.0,The 8th Night
10,6828,2.7,Garuda Di Dadaku
10,1319,4.2,Xico's Journey
10,7402,3.5,Mara
10,3818,4.8,Good Sam
11,5670,3.6,Ice Fantasy
11,4993,2.9,The Outsider
11,5410,3.8,Yours Fatefully
11,3135,3.3,Fukrey
11,7545,1.5,My Scientology Movie
11,6761,3.0,Fishpeople
11,1408,1.9,The Magicians
11,5810,2.3,I'll Sleep When I'm Dead
11,6617,1.0,District 9
11,2942,4.0,My Holo Love
11,5438,3.7,Under the Black Moonlight
11,552,3.5,Holiday on Mars
11,7562,1.7,National Lampoon's Loaded Weapon 1
11,2443,4.5,122
11,4758,2.5,Amazing Interiors
11,3373,3.5,Drug Squad: Costa del Sol
11,4703,2.2,Afflicted
11,8578,4.5,Thithi
11,7448,2.5,Merry Men: The Real Yoruba Demons
11,5487,4.5,Wild Oats
12,4526,3.7,Pulang
12,6319,2.1,Bitter Daisies
12,457,2.0,Lift Like a Girl
12,8163,4.2,Temporada de Caza
12,2374,1.4,Stray Bullet
12,477,3.3,Atypical
12,1671,4.4,The App That Stole Christmas
12,7512,3.6,Morya
12,4422,4.0,ABCD 2
12,7963,3.5,Seal Team Six: The Raid on Osama Bin Laden
12,7696,1.0,Paint It Black
12,3851,2.6,Unchained Fate
12,4044,3.5,A Korean Odyssey
12,7814,4.3,R.L. Stine's Mostly Ghostly
12,4072,4.2,Evening Shadows
12,3018,3.8,Legend
12,877,5.0,Cinema Bandi
12,3081,3.1,How High 2
12,6456,2.3,Cheers
12,5113,4.7,Bright
13,2331,3.1,Home Game
13,7297,2.2,License to Drill: Louisiana
13,7418,3.4,Mary Portas: Secret Shopper
13,7807,2.8,Q Ball
13,7486,4.4,Monkey Up
13,6608,3.2,Diary of a Chambermaid
13,7695,3.3,Paid in Full
13,7910,4.2,Rustom
13,1333,5.0,War Dogs
13,2397,2.5,Jo Koy: In His Elements
13,7087,2.6,Into the Forest
13,496,3.3,Brick Mansions
13,4232,2.2,Bill Hicks: Revelations
13,1960,4.0,Kiss the Ground
13,3,4.3,Jailbirds New Orleans
13,2006,3.6,Buddi
13,3728,5.0,The End of Evangelion
13,462,4.8,This Changes Everything
